Food Name,Energy,Carbs,Fat,Protein
Beef Burger,237,43,19,19
Beef Curry,144,7,5,13
Beef Rendang,253,3,8,9
Beef Satay,240,33,11,30
Briyani Rice,183,72,13,9
Cheese Burger,275,36,3,16
Chicken Curry,203,2,13,16
Chicken Rice,151,46,3,16
Chicken Satay,243,19,19,28
Dosai,184,27,2,4
Durian,64,11,1,1
Fried Chicken,290,3,17,20
Fried Rice,242,85,17,22
Kuih Bakul,290,17,0,0
Kuih Teow,140,34,0,3
Mee Goreng,165,40,9,9
Mee Hoon,155,40,0,5
Mee Laksa,68,45,0,0
Mee Sup,294,42,14,20
Murtabak,231,25,9,11
Mutton Satay,24,0,0,4
Nasi Dagang,203,91,12,8
Nasi Lemak,165,58,13,9
Nasi Minyak,178,73,12,7
Pizza,674,8,9,9
Rojak,228,47,51,25
Roti Canai,317,45,10,6
Roti Telur,264,46,13,12
